group,index,ngram,n
2,2,leak use comments wa2,144649
2,5,break use comments wa1,27449
3,3,hydrant running full wa4,107017
4,4,fire hydrant emergency fhe,61274
6,6,main break use comments,27449
7,7,possible water main break,27449
8,8,water main break use,27449
9,9,no water low pressure,17380
10,10,water low pressure wa5,17380
10,18,low water pressure wlwp,10980
11,11,hydrant knocked over missing,16839
12,12,knocked over missing wc,16839
12,24,box cover missing wv2,1279
13,13,other water problem use,15477
14,14,problem use comments wzz,15477
15,15,water problem use comments,15477
16,16,excessive water in basement,14517
17,17,water in basement wefb,14517
18,30,high water pressure whp,661
19,19,device request use comments,8808
20,20,hydrant locking device request,8808
20,31,hydrant locking device wc6,426
21,21,locking device request use,8808
22,22,request use comments wc5,8808
23,23,defective street cut wzz1,3552
25,25,hyd valve box cover,1279
25,57,hyd valve box defective,2
26,26,valve box cover missing,1279
27,27,open a hydrant wc4,723
28,28,request to open a,723
29,29,to open a hydrant,723
32,32,remove hydrant locking device,426
33,33,hydrant side post whfp,144
34,34,installation of hydrant side,144
35,35,of hydrant side post,144
36,36,missing moved exposing hole,125
37,37,moved exposing hole wf4,125
38,38,plate missing moved exposing,125
39,39,noisy sunken raised wf5,33
40,40,plate noisy sunken raised,33
41,41,dep internal use only,17
42,42,for dep internal use,17
43,43,cover missing emergency for,14
44,44,emergency for dep internal,14
45,45,internal use only wf,14
45,64,internal use only wf1,1
45,65,internal use only wf2,1
45,66,internal use only wslt,1
46,46,manhole cover missing emergency,14
47,47,missing emergency for dep,14
48,48,box defective see comments,2
49,49,caps chains missing fire,2
50,50,chains missing fire dept,2
51,51,comments for dep use,2
52,52,defective see comments for,2
53,53,dep use only wv3,2
53,54,dept use only wkmc,2
55,55,fire dept use only,2
55,56,for dep use only,2
58,58,missing fire dept use,2
59,59,see comments for dep,2
60,60,valve box defective see,2
61,61,broken making noise for,1
62,62,cover broken making noise,1
63,63,damaged raised for dep,1
67,67,line termination for dep,1
68,68,making noise for dep,1
69,69,manhole cover broken making,1
70,70,manhole sunken damaged raised,1
71,71,noise for dep internal,1
71,72,raised for dep internal,1
73,73,service line termination for,1
74,74,sunken damaged raised for,1
75,75,termination for dep internal,1
